entity_name,indicator_name,indicator_code,frequency,数据来源,2025,2024,2023
宏观数据（年）,美国:失业率(%),EMG00208152,yearly,美国劳工部,4.264,4.025,3.625
宏观数据（年）,美国:失业率:全部(%),EMG01385080,yearly,OECD,4.283,4.022,3.639
